date,text
2026-03-01,"Livraison trop lente mais bon produit"
2026-03-02,"Le support client a été très efficace"
2026-03-03,"Le prix est trop élevé"
2026-03-04,"Très bonne qualité, je recommande"
2026-03-05,"Le site est confus et difficile à utiliser"
2026-03-06,"Le service client est excellent et très réactif"
2026-03-07,"Le produit est de bonne qualité mais la livraison a été très longue"
2026-03-08,"Le prix est un peu élevé mais le produit est conforme à mes attentes"
2026-03-09,"Le site est facile à utiliser et le produit est de bonne qualité"
2026-03-10,"Le service client est très réactif et le produit est de bonne qualité"
